feature,importance
sbytes,0.0694100169205736
smean,0.06061916873179556
service_http,0.06034505918600779
ackdat,0.057404208173102586
trans_depth,0.046725276878728725
proto_udp,0.04484984914535809
dmean,0.04361000668086279
dinpkt,0.041059356708159675
tcprtt,0.03798345595991132
dbytes,0.03766994008756005
ct_flw_http_mthd,0.03751642420004476
dur,0.03439701733221019
sload,0.03425414486996044
synack,0.033664413415994
rate,0.031142822992951083
service_-,0.03025239806613936
dload,0.02902632766043092
dpkts,0.02451710173847068
sinpkt,0.024025042745670588
djit,0.022044052015461446
dtcpb,0.017901716309230535
ct_src_dport_ltm,0.017377459127191578
sloss,0.01732262405393016
sjit,0.016536286177851262
dloss,0.015873118751954896
spkts,0.015035550049089566
ct_dst_sport_ltm,0.013038291498471383
stcpb,0.012562953925543935
proto_tcp,0.011794859009970996
swin,0.009688727706972194
dwin,0.007169283011013922
state_CON,0.005756437336644126
state_FIN,0.004739079662825718
response_body_len,0.00460765687641932
state_INT,0.004512160457073977
is_sm_ips_ports,0.004390681830261704
proto_ospf,0.004169348295615677
proto_arp,0.004053084995386967
proto_sctp,0.00303738162502178
proto_unas,0.002691375708754692
service_dns,0.0014856807278151398
state_REQ,0.0010576568328874614
service_ftp-data,0.0008060103432777929
service_irc,0.0007702909166409689
service_ftp,0.0006443059585413543
proto_ipv6,0.00028916622076368293
proto_sep,0.0002825282201413126
proto_swipe,0.00017479941738359552
proto_sun-nd,0.00015907927513729404
proto_igmp,0.00012019370675045106
service_ssh,0.00011603158750904476
service_smtp,8.403356098098738e-05
ct_ftp_cmd,8.28207343733603e-05
proto_mobile,7.380975372086351e-05
proto_icmp,7.367460479764221e-05
proto_gre,7.249417553809461e-05
is_ftp_login,7.129413571013269e-05
proto_rvd,6.176476473262302e-05
state_ECO,5.572689495141187e-05
state_RST,4.8539774214065705e-05
proto_idpr,3.4453647861744175e-05
proto_pim,3.3156252540458434e-05
proto_il,3.085567355189308e-05
proto_micp,2.8036366149845853e-05
proto_ip,2.7438419812854758e-05
proto_any,2.7368707828417633e-05
proto_mux,2.5475420640009592e-05
proto_st2,2.46555084813868e-05
proto_trunk-1,2.1528955628776897e-05
proto_3pc,1.9601079458387326e-05
proto_ipv6-route,1.9195443877324126e-05
proto_cbt,1.589287322959957e-05
proto_ddp,1.4602427299663379e-05
proto_trunk-2,1.36807094990144e-05
proto_xtp,1.363446476149005e-05
proto_dcn,1.3597968456530379e-05
proto_rsvp,1.3232347844235217e-05
proto_ddx,1.321620756622578e-05
proto_rdp,1.2650581982098677e-05
proto_netblt,1.2346352106466457e-05
proto_tp++,1.2228072497875025e-05
proto_argus,1.1351571922421018e-05
proto_idpr-cmtp,1.130842877117785e-05
proto_ggp,1.1067341165728581e-05
proto_secure-vmtp,1.0371883885558152e-05
proto_visa,1.0005227873521329e-05
proto_mfe-nsp,9.148421116669833e-06
proto_prm,8.985387680913022e-06
proto_smp,8.401988393153857e-06
proto_iplt,8.168825132699828e-06
proto_merit-inp,8.046137236358249e-06
proto_cftp,7.729943281778632e-06
proto_fire,7.058883665966623e-06
proto_snp,6.983361841353671e-06
proto_nsfnet-igp,6.923218079617559e-06
proto_vrrp,6.377121055885111e-06
proto_l2tp,6.37046434889524e-06
proto_narp,6.367891539153888e-06
service_radius,6.030032861600523e-06
proto_ttp,5.50638848534038e-06
proto_pgm,5.386729462040372e-06
proto_wsn,5.27893437735143e-06
proto_ipv6-opts,5.272903837017609e-06
proto_hmp,5.248004738917252e-06
proto_tlsp,4.758398679227175e-06
proto_wb-expak,4.113786438523077e-06
proto_etherip,3.847108593074841e-06
proto_nvp,3.7212664872630198e-06
proto_kryptolan,3.516273062493962e-06
proto_sccopmce,3.353535646428507e-06
proto_vmtp,3.0985211133677257e-06
proto_rtp,2.912974000653689e-06
proto_ipv6-no,2.813594552631701e-06
proto_leaf-1,2.645325551952572e-06
service_pop3,2.6175285874063966e-06
proto_gmtp,2.5969003599900814e-06
proto_leaf-2,2.4299988837607464e-06
proto_uti,2.3411541437728556e-06
proto_sdrp,2.2561095136508614e-06
proto_vines,2.1446102875873635e-06
state_PAR,2.080696443678469e-06
proto_i-nlsp,2.07953409473505e-06
proto_idrp,1.9670496900951214e-06
proto_xnet,1.8487847372877479e-06
proto_sat-expak,1.8085886415121126e-06
proto_irtp,1.7545264889161062e-06
proto_wb-mon,1.7174632386727749e-06
state_no,1.6654327115527681e-06
proto_iatp,1.6299401887558045e-06
proto_igp,1.5993292222958351e-06
proto_ipip,1.5530506209436403e-06
proto_sat-mon,1.4508944619145346e-06
proto_eigrp,1.3962755753471324e-06
state_URN,1.3541168030861781e-06
service_snmp,1.333029145216742e-06
proto_mhrp,1.2888548433162815e-06
proto_pvp,1.2741587268527451e-06
proto_dgp,1.2221331251997362e-06
proto_skip,1.1535488862586692e-06
